STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SJF,H,1,RIV STG,19970307 0100,19970307 0100,---, ,FEET
SJF,H,1,RIV STG,19970307 0200,19970307 0200,---, ,FEET
SJF,H,1,RIV STG,19970307 0300,19970307 0300,---, ,FEET
SJF,H,1,RIV STG,19970307 0400,19970307 0400,---, ,FEET
SJF,H,1,RIV STG,19970307 0500,19970307 0500,---, ,FEET
SJF,H,1,RIV STG,19970307 0600,19970307 0600,---, ,FEET
SJF,H,1,RIV STG,19970307 0700,19970307 0700,---, ,FEET
SJF,H,1,RIV STG,19970307 0800,19970307 0800,---, ,FEET
SJF,H,1,RIV STG,19970307 0900,19970307 0900,---, ,FEET
SJF,H,1,RIV STG,19970307 1000,19970307 1000,5.29, ,FEET
SJF,H,1,RIV STG,19970307 1100,19970307 1100,5.29, ,FEET
SJF,H,1,RIV STG,19970307 1200,19970307 1200,5.29, ,FEET
SJF,H,1,RIV STG,19970307 1300,19970307 1300,---, ,FEET
SJF,H,1,RIV STG,19970307 1400,19970307 1400,5.01, ,FEET
SJF,H,1,RIV STG,19970307 1500,19970307 1500,5.00, ,FEET
SJF,H,1,RIV STG,19970307 1600,19970307 1600,5.00, ,FEET
SJF,H,1,RIV STG,19970307 1700,19970307 1700,5.00, ,FEET
SJF,H,1,RIV STG,19970307 1800,19970307 1800,5.00, ,FEET
SJF,H,1,RIV STG,19970307 1900,19970307 1900,5.00, ,FEET
SJF,H,1,RIV STG,19970307 2000,19970307 2000,5.00, ,FEET
SJF,H,1,RIV STG,19970307 2100,19970307 2100,5.00, ,FEET
SJF,H,1,RIV STG,19970307 2200,19970307 2200,5.00, ,FEET
SJF,H,1,RIV STG,19970307 2300,19970307 2300,5.00, ,FEET
SJF,H,1,RIV STG,19970308 0000,19970308 0000,5.00, ,FEET
SJF,H,1,RIV STG,19970308 0100,19970308 0100,5.00, ,FEET
SJF,H,1,RIV STG,19970308 0200,19970308 0200,5.00, ,FEET
SJF,H,1,RIV STG,19970308 0300,19970308 0300,5.00, ,FEET
SJF,H,1,RIV STG,19970308 0400,19970308 0400,5.00, ,FEET
SJF,H,1,RIV STG,19970308 0500,19970308 0500,0.00, ,FEET
SJF,H,1,RIV STG,19970308 0600,19970308 0600,5.00, ,FEET
SJF,H,1,RIV STG,19970308 0700,19970308 0700,4.99, ,FEET
SJF,H,1,RIV STG,19970308 0800,19970308 0800,4.99, ,FEET
SJF,H,1,RIV STG,19970308 0900,19970308 0900,4.99, ,FEET
SJF,H,1,RIV STG,19970308 1000,19970308 1000,4.99, ,FEET
SJF,H,1,RIV STG,19970308 1100,19970308 1100,4.99, ,FEET
SJF,H,1,RIV STG,19970308 1200,19970308 1200,4.99, ,FEET
SJF,H,1,RIV STG,19970308 1300,19970308 1300,4.99, ,FEET
SJF,H,1,RIV STG,19970308 1400,19970308 1400,4.99, ,FEET
SJF,H,1,RIV STG,19970308 1500,19970308 1500,4.99, ,FEET
SJF,H,1,RIV STG,19970308 1600,19970308 1600,4.99, ,FEET
SJF,H,1,RIV STG,19970308 1700,19970308 1700,4.99, ,FEET
SJF,H,1,RIV STG,19970308 1800,19970308 1800,4.99, ,FEET
SJF,H,1,RIV STG,19970308 1900,19970308 1900,4.99, ,FEET
SJF,H,1,RIV STG,19970308 2000,19970308 2000,4.99, ,FEET
SJF,H,1,RIV STG,19970308 2100,19970308 2100,4.99, ,FEET
SJF,H,1,RIV STG,19970308 2200,19970308 2200,4.99, ,FEET
SJF,H,1,RIV STG,19970308 2300,19970308 2300,4.99, ,FEET
SJF,H,1,RIV STG,19970309 0000,19970309 0000,4.99, ,FEET
SJF,H,1,RIV STG,19970309 0100,19970309 0100,4.99, ,FEET
