STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
VON,D,41,M FLOW,19910101 0000,19910101 0000,10263,,CFS
VON,D,41,M FLOW,19910102 0000,19910102 0000,10318,,CFS
VON,D,41,M FLOW,19910103 0000,19910103 0000,10314,,CFS
VON,D,41,M FLOW,19910104 0000,19910104 0000,10324,,CFS
VON,D,41,M FLOW,19910105 0000,19910105 0000,10316,,CFS
VON,D,41,M FLOW,19910106 0000,19910106 0000,10223,,CFS
VON,D,41,M FLOW,19910107 0000,19910107 0000,10054,,CFS
VON,D,41,M FLOW,19910108 0000,19910108 0000,10047,,CFS
VON,D,41,M FLOW,19910109 0000,19910109 0000,10108,,CFS
VON,D,41,M FLOW,19910110 0000,19910110 0000,10220,,CFS
VON,D,41,M FLOW,19910111 0000,19910111 0000,10200,,CFS
VON,D,41,M FLOW,19910112 0000,19910112 0000,10014,,CFS
VON,D,41,M FLOW,19910113 0000,19910113 0000,9826,,CFS
VON,D,41,M FLOW,19910114 0000,19910114 0000,9618,,CFS
VON,D,41,M FLOW,19910115 0000,19910115 0000,9471,,CFS
VON,D,41,M FLOW,19910116 0000,19910116 0000,9390,,CFS
VON,D,41,M FLOW,19910117 0000,19910117 0000,9365,,CFS
VON,D,41,M FLOW,19910118 0000,19910118 0000,9275,,CFS
VON,D,41,M FLOW,19910119 0000,19910119 0000,9176,,CFS
VON,D,41,M FLOW,19910120 0000,19910120 0000,9038,,CFS
VON,D,41,M FLOW,19910121 0000,19910121 0000,8724,,CFS
VON,D,41,M FLOW,19910122 0000,19910122 0000,---,,CFS
VON,D,41,M FLOW,19910123 0000,19910123 0000,8230,,CFS
VON,D,41,M FLOW,19910124 0000,19910124 0000,8159,,CFS
VON,D,41,M FLOW,19910125 0000,19910125 0000,8079,,CFS
VON,D,41,M FLOW,19910126 0000,19910126 0000,7860,,CFS
VON,D,41,M FLOW,19910127 0000,19910127 0000,7682,,CFS
VON,D,41,M FLOW,19910128 0000,19910128 0000,7567,,CFS
VON,D,41,M FLOW,19910129 0000,19910129 0000,7327,,CFS
VON,D,41,M FLOW,19910130 0000,19910130 0000,7270,,CFS
VON,D,41,M FLOW,19910131 0000,19910131 0000,---,,CFS
VON,D,41,M FLOW,19910201 0000,19910201 0000,7065,,CFS
VON,D,41,M FLOW,19910202 0000,19910202 0000,7241,,CFS
VON,D,41,M FLOW,19910203 0000,19910203 0000,8074,,CFS
VON,D,41,M FLOW,19910204 0000,19910204 0000,9474,,CFS
VON,D,41,M FLOW,19910205 0000,19910205 0000,11297,,CFS
VON,D,41,M FLOW,19910206 0000,19910206 0000,12137,,CFS
VON,D,41,M FLOW,19910207 0000,19910207 0000,12214,,CFS
VON,D,41,M FLOW,19910208 0000,19910208 0000,11203,,CFS
VON,D,41,M FLOW,19910209 0000,19910209 0000,9893,,CFS
VON,D,41,M FLOW,19910210 0000,19910210 0000,8971,,CFS
VON,D,41,M FLOW,19910211 0000,19910211 0000,8282,,CFS
VON,D,41,M FLOW,19910212 0000,19910212 0000,7623,,CFS
VON,D,41,M FLOW,19910213 0000,19910213 0000,7272,,CFS
VON,D,41,M FLOW,19910214 0000,19910214 0000,7340,,CFS
VON,D,41,M FLOW,19910215 0000,19910215 0000,7545,,CFS
VON,D,41,M FLOW,19910216 0000,19910216 0000,7386,,CFS
VON,D,41,M FLOW,19910217 0000,19910217 0000,7479,,CFS
VON,D,41,M FLOW,19910218 0000,19910218 0000,7287,,CFS
VON,D,41,M FLOW,19910219 0000,19910219 0000,7182,,CFS
VON,D,41,M FLOW,19910220 0000,19910220 0000,6984,,CFS
VON,D,41,M FLOW,19910221 0000,19910221 0000,6950,,CFS
VON,D,41,M FLOW,19910222 0000,19910222 0000,7071,,CFS
VON,D,41,M FLOW,19910223 0000,19910223 0000,6902,,CFS
VON,D,41,M FLOW,19910224 0000,19910224 0000,6803,,CFS
VON,D,41,M FLOW,19910225 0000,19910225 0000,6756,,CFS
VON,D,41,M FLOW,19910226 0000,19910226 0000,6846,,CFS
VON,D,41,M FLOW,19910227 0000,19910227 0000,7045,,CFS
VON,D,41,M FLOW,19910228 0000,19910228 0000,---,,CFS
