STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
WLK,D,41,M FLOW,19930101 0000,19930101 0000,8134,,CFS
WLK,D,41,M FLOW,19930102 0000,19930102 0000,---,,CFS
WLK,D,41,M FLOW,19930103 0000,19930103 0000,24670,,CFS
WLK,D,41,M FLOW,19930104 0000,19930104 0000,19676,,CFS
WLK,D,41,M FLOW,19930105 0000,19930105 0000,15128,,CFS
WLK,D,41,M FLOW,19930106 0000,19930106 0000,---,,CFS
WLK,D,41,M FLOW,19930107 0000,19930107 0000,11044,,CFS
WLK,D,41,M FLOW,19930108 0000,19930108 0000,20375,,CFS
WLK,D,41,M FLOW,19930109 0000,19930109 0000,24558,,CFS
WLK,D,41,M FLOW,19930110 0000,19930110 0000,22795,,CFS
WLK,D,41,M FLOW,19930111 0000,19930111 0000,19943,,CFS
WLK,D,41,M FLOW,19930112 0000,19930112 0000,17393,,CFS
WLK,D,41,M FLOW,19930113 0000,19930113 0000,14330,,CFS
WLK,D,41,M FLOW,19930114 0000,19930114 0000,---,,CFS
WLK,D,41,M FLOW,19930115 0000,19930115 0000,26730,,CFS
WLK,D,41,M FLOW,19930116 0000,19930116 0000,26452,,CFS
WLK,D,41,M FLOW,19930117 0000,19930117 0000,26546,,CFS
WLK,D,41,M FLOW,19930118 0000,19930118 0000,26578,,CFS
WLK,D,41,M FLOW,19930119 0000,19930119 0000,25007,,CFS
WLK,D,41,M FLOW,19930120 0000,19930120 0000,22231,,CFS
WLK,D,41,M FLOW,19930121 0000,19930121 0000,25554,,CFS
WLK,D,41,M FLOW,19930122 0000,19930122 0000,28572,,CFS
WLK,D,41,M FLOW,19930123 0000,19930123 0000,29186,,CFS
WLK,D,41,M FLOW,19930124 0000,19930124 0000,28336,,CFS
WLK,D,41,M FLOW,19930125 0000,19930125 0000,28461,,CFS
WLK,D,41,M FLOW,19930126 0000,19930126 0000,27230,,CFS
WLK,D,41,M FLOW,19930127 0000,19930127 0000,25147,,CFS
WLK,D,41,M FLOW,19930128 0000,19930128 0000,22398,,CFS
WLK,D,41,M FLOW,19930129 0000,19930129 0000,19864,,CFS
WLK,D,41,M FLOW,19930130 0000,19930130 0000,17978,,CFS
WLK,D,41,M FLOW,19930131 0000,19930131 0000,16683,,CFS
WLK,D,41,M FLOW,19930201 0000,19930201 0000,15918,,CFS
WLK,D,41,M FLOW,19930202 0000,19930202 0000,15225,,CFS
WLK,D,41,M FLOW,19930203 0000,19930203 0000,14437,,CFS
WLK,D,41,M FLOW,19930204 0000,19930204 0000,13604,,CFS
WLK,D,41,M FLOW,19930205 0000,19930205 0000,13092,,CFS
WLK,D,41,M FLOW,19930206 0000,19930206 0000,12736,,CFS
WLK,D,41,M FLOW,19930207 0000,19930207 0000,13140,,CFS
WLK,D,41,M FLOW,19930208 0000,19930208 0000,13943,,CFS
WLK,D,41,M FLOW,19930209 0000,19930209 0000,19875,,CFS
WLK,D,41,M FLOW,19930210 0000,19930210 0000,28529,,CFS
WLK,D,41,M FLOW,19930211 0000,19930211 0000,28056,,CFS
WLK,D,41,M FLOW,19930212 0000,19930212 0000,28120,,CFS
WLK,D,41,M FLOW,19930213 0000,19930213 0000,27860,,CFS
WLK,D,41,M FLOW,19930214 0000,19930214 0000,26485,,CFS
WLK,D,41,M FLOW,19930215 0000,19930215 0000,24412,,CFS
WLK,D,41,M FLOW,19930216 0000,19930216 0000,22110,,CFS
WLK,D,41,M FLOW,19930217 0000,19930217 0000,20700,,CFS
WLK,D,41,M FLOW,19930218 0000,19930218 0000,21691,,CFS
WLK,D,41,M FLOW,19930219 0000,19930219 0000,27910,,CFS
WLK,D,41,M FLOW,19930220 0000,19930220 0000,29624,,CFS
WLK,D,41,M FLOW,19930221 0000,19930221 0000,30024,,CFS
WLK,D,41,M FLOW,19930222 0000,19930222 0000,29234,,CFS
WLK,D,41,M FLOW,19930223 0000,19930223 0000,28725,,CFS
WLK,D,41,M FLOW,19930224 0000,19930224 0000,28973,,CFS
WLK,D,41,M FLOW,19930225 0000,19930225 0000,28575,,CFS
WLK,D,41,M FLOW,19930226 0000,19930226 0000,---,,CFS
WLK,D,41,M FLOW,19930227 0000,19930227 0000,25800,,CFS
WLK,D,41,M FLOW,19930228 0000,19930228 0000,23325,,CFS
WLK,D,41,M FLOW,19930301 0000,19930301 0000,20972,,CFS
WLK,D,41,M FLOW,19930302 0000,19930302 0000,18653,,CFS
WLK,D,41,M FLOW,19930303 0000,19930303 0000,17337,,CFS
WLK,D,41,M FLOW,19930304 0000,19930304 0000,16639,,CFS
WLK,D,41,M FLOW,19930305 0000,19930305 0000,16169,,CFS
WLK,D,41,M FLOW,19930306 0000,19930306 0000,15620,,CFS
WLK,D,41,M FLOW,19930307 0000,19930307 0000,15172,,CFS
WLK,D,41,M FLOW,19930308 0000,19930308 0000,15132,,CFS
WLK,D,41,M FLOW,19930309 0000,19930309 0000,14076,,CFS
WLK,D,41,M FLOW,19930310 0000,19930310 0000,15121,,CFS
WLK,D,41,M FLOW,19930311 0000,19930311 0000,14190,,CFS
WLK,D,41,M FLOW,19930312 0000,19930312 0000,12984,,CFS
WLK,D,41,M FLOW,19930313 0000,19930313 0000,12623,,CFS
WLK,D,41,M FLOW,19930314 0000,19930314 0000,12398,,CFS
WLK,D,41,M FLOW,19930315 0000,19930315 0000,---,,CFS
WLK,D,41,M FLOW,19930316 0000,19930316 0000,12630,,CFS
WLK,D,41,M FLOW,19930317 0000,19930317 0000,13011,,CFS
WLK,D,41,M FLOW,19930318 0000,19930318 0000,19887,,CFS
WLK,D,41,M FLOW,19930319 0000,19930319 0000,26068,,CFS
