STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
YBP,M,3,SNOW WC,19370301 0000,19370228 0000,33.00,,INCHES
YBP,M,3,SNOW WC,19370401 0000,19370405 0000,36.10,,INCHES
YBP,M,3,SNOW WC,19370501 0000,19370428 0000,28.50,,INCHES
YBP,M,3,SNOW WC,19380301 0000,19380226 0000,41.20,,INCHES
YBP,M,3,SNOW WC,19380401 0000,19380403 0000,52.00,,INCHES
YBP,M,3,SNOW WC,19390401 0000,19390329 0000,17.90,,INCHES
YBP,M,3,SNOW WC,19390501 0000,19390428 0000,0.00,,INCHES
YBP,M,3,SNOW WC,19400201 0000,19400201 0000,12.30,,INCHES
YBP,M,3,SNOW WC,19400301 0000,19400304 0000,31.40,,INCHES
YBP,M,3,SNOW WC,19400401 0000,19400403 0000,34.80,,INCHES
YBP,M,3,SNOW WC,19400501 0000,19400504 0000,12.90,,INCHES
YBP,M,3,SNOW WC,19410201 0000,19410131 0000,28.30,,INCHES
YBP,M,3,SNOW WC,19410301 0000,19410228 0000,34.00,,INCHES
YBP,M,3,SNOW WC,19410401 0000,19410401 0000,33.40,,INCHES
YBP,M,3,SNOW WC,19410501 0000,19410502 0000,28.10,,INCHES
YBP,M,3,SNOW WC,19420201 0000,19420129 0000,16.10,,INCHES
YBP,M,3,SNOW WC,19420301 0000,19420302 0000,31.10,,INCHES
YBP,M,3,SNOW WC,19420401 0000,19420326 0000,29.60,,INCHES
YBP,M,3,SNOW WC,19420501 0000,19420508 0000,24.90,,INCHES
YBP,M,3,SNOW WC,19430201 0000,19430129 0000,26.80,,INCHES
YBP,M,3,SNOW WC,19430301 0000,19430303 0000,31.00,,INCHES
YBP,M,3,SNOW WC,19430401 0000,19430331 0000,35.00,,INCHES
YBP,M,3,SNOW WC,19430501 0000,19430503 0000,5.00,,INCHES
YBP,M,3,SNOW WC,19440201 0000,19440205 0000,12.50,,INCHES
YBP,M,3,SNOW WC,19440301 0000,19440307 0000,30.50,,INCHES
YBP,M,3,SNOW WC,19440401 0000,19440328 0000,27.50,,INCHES
YBP,M,3,SNOW WC,19440501 0000,19440501 0000,20.30,,INCHES
YBP,M,3,SNOW WC,19450101 0000,19450103 0000,11.50,,INCHES
YBP,M,3,SNOW WC,19450201 0000,19450204 0000,15.60,,INCHES
YBP,M,3,SNOW WC,19450301 0000,19450228 0000,21.40,,INCHES
YBP,M,3,SNOW WC,19450401 0000,19450331 0000,34.30,,INCHES
YBP,M,3,SNOW WC,19460101 0000,19460103 0000,37.40,,INCHES
YBP,M,3,SNOW WC,19460201 0000,19460128 0000,32.80,,INCHES
YBP,M,3,SNOW WC,19460301 0000,19460228 0000,36.80,,INCHES
YBP,M,3,SNOW WC,19460401 0000,19460402 0000,41.60,,INCHES
YBP,M,3,SNOW WC,19460501 0000,19460501 0000,19.70,,INCHES
YBP,M,3,SNOW WC,19470101 0000,19461231 0000,10.10,,INCHES
YBP,M,3,SNOW WC,19470201 0000,19470129 0000,17.90,,INCHES
YBP,M,3,SNOW WC,19470301 0000,19470227 0000,12.90,,INCHES
YBP,M,3,SNOW WC,19470401 0000,19470401 0000,21.10,,INCHES
YBP,M,3,SNOW WC,19470501 0000,19470430 0000,1.40,,INCHES
YBP,M,3,SNOW WC,19480201 0000,19480130 0000,4.40,,INCHES
YBP,M,3,SNOW WC,19480301 0000,19480302 0000,9.70,,INCHES
YBP,M,3,SNOW WC,19480401 0000,19480329 0000,18.90,,INCHES
YBP,M,3,SNOW WC,19480501 0000,19480430 0000,27.70,,INCHES
YBP,M,3,SNOW WC,19490201 0000,19490127 0000,13.10,,INCHES
YBP,M,3,SNOW WC,19490301 0000,19490301 0000,26.80,,INCHES
YBP,M,3,SNOW WC,19490401 0000,19490330 0000,34.40,,INCHES
YBP,M,3,SNOW WC,19490501 0000,19490428 0000,12.70,,INCHES
YBP,M,3,SNOW WC,19500201 0000,19500129 0000,22.60,,INCHES
YBP,M,3,SNOW WC,19500301 0000,19500226 0000,29.30,,INCHES
YBP,M,3,SNOW WC,19500401 0000,19500331 0000,37.10,,INCHES
YBP,M,3,SNOW WC,19500501 0000,19500429 0000,24.40,,INCHES
YBP,M,3,SNOW WC,19510201 0000,19510127 0000,12.70,,INCHES
YBP,M,3,SNOW WC,19510301 0000,19510303 0000,18.20,,INCHES
YBP,M,3,SNOW WC,19510401 0000,19510401 0000,20.80,,INCHES
YBP,M,3,SNOW WC,19510501 0000,19510429 0000,3.70,,INCHES
YBP,M,3,SNOW WC,19520201 0000,19520202 0000,57.30,,INCHES
YBP,M,3,SNOW WC,19520301 0000,19520302 0000,62.50,,INCHES
YBP,M,3,SNOW WC,19520401 0000,19520331 0000,76.70,,INCHES
YBP,M,3,SNOW WC,19520501 0000,19520509 0000,51.10,,INCHES
YBP,M,3,SNOW WC,19530201 0000,19530201 0000,24.90,,INCHES
YBP,M,3,SNOW WC,19530301 0000,19530301 0000,18.30,,INCHES
YBP,M,3,SNOW WC,19530401 0000,19530328 0000,31.50,,INCHES
YBP,M,3,SNOW WC,19530501 0000,19530503 0000,20.60,,INCHES
YBP,M,3,SNOW WC,19540201 0000,19540130 0000,17.00,,INCHES
YBP,M,3,SNOW WC,19540301 0000,19540227 0000,25.00,,INCHES
YBP,M,3,SNOW WC,19540401 0000,19540327 0000,24.30,,INCHES
YBP,M,3,SNOW WC,19540501 0000,19540430 0000,4.80,,INCHES
YBP,M,3,SNOW WC,19550201 0000,19550131 0000,16.10,,INCHES
YBP,M,3,SNOW WC,19550301 0000,19550301 0000,14.30,,INCHES
YBP,M,3,SNOW WC,19550401 0000,19550330 0000,19.90,,INCHES
YBP,M,3,SNOW WC,19550501 0000,19550429 0000,19.30,,INCHES
YBP,M,3,SNOW WC,19560201 0000,19560131 0000,38.60,,INCHES
YBP,M,3,SNOW WC,19560301 0000,19560228 0000,50.60,,INCHES
YBP,M,3,SNOW WC,19560401 0000,19560329 0000,50.00,,INCHES
YBP,M,3,SNOW WC,19560501 0000,19560427 0000,37.30,,INCHES
YBP,M,3,SNOW WC,19570201 0000,19570204 0000,13.60,,INCHES
YBP,M,3,SNOW WC,19570301 0000,19570228 0000,22.10,,INCHES
YBP,M,3,SNOW WC,19570401 0000,19570401 0000,27.60,,INCHES
YBP,M,3,SNOW WC,19570501 0000,19570501 0000,16.10,,INCHES
YBP,M,3,SNOW WC,19580201 0000,19580203 0000,20.40,,INCHES
YBP,M,3,SNOW WC,19580301 0000,19580227 0000,30.10,,INCHES
YBP,M,3,SNOW WC,19580401 0000,19580331 0000,45.90,,INCHES
YBP,M,3,SNOW WC,19580501 0000,19580502 0000,42.60,,INCHES
YBP,M,3,SNOW WC,19590201 0000,19590202 0000,8.70,,INCHES
YBP,M,3,SNOW WC,19590301 0000,19590302 0000,17.90,,INCHES
YBP,M,3,SNOW WC,19590401 0000,19590330 0000,16.90,,INCHES
YBP,M,3,SNOW WC,19590501 0000,19590501 0000,0.00,,INCHES
YBP,M,3,SNOW WC,19600201 0000,19600202 0000,17.70,,INCHES
YBP,M,3,SNOW WC,19600301 0000,19600301 0000,22.60,,INCHES
YBP,M,3,SNOW WC,19600401 0000,19600401 0000,22.10,,INCHES
YBP,M,3,SNOW WC,19600501 0000,19600502 0000,1.40,,INCHES
YBP,M,3,SNOW WC,19610201 0000,19610201 0000,11.10,,INCHES
YBP,M,3,SNOW WC,19610301 0000,19610227 0000,14.00,,INCHES
YBP,M,3,SNOW WC,19610401 0000,19610330 0000,19.90,,INCHES
YBP,M,3,SNOW WC,19610501 0000,19610501 0000,4.00,,INCHES
YBP,M,3,SNOW WC,19620201 0000,19620131 0000,12.50,,INCHES
YBP,M,3,SNOW WC,19620301 0000,19620228 0000,32.70,,INCHES
YBP,M,3,SNOW WC,19620401 0000,19620329 0000,42.90,,INCHES
YBP,M,3,SNOW WC,19620501 0000,19620430 0000,20.30,,INCHES
YBP,M,3,SNOW WC,19630201 0000,19630203 0000,0.00,,INCHES
YBP,M,3,SNOW WC,19630301 0000,19630304 0000,1.00,,INCHES
YBP,M,3,SNOW WC,19630401 0000,19630329 0000,8.60,,INCHES
YBP,M,3,SNOW WC,19630501 0000,19630430 0000,21.90,,INCHES
YBP,M,3,SNOW WC,19640201 0000,19640129 0000,17.70,,INCHES
YBP,M,3,SNOW WC,19640301 0000,19640227 0000,17.70,,INCHES
YBP,M,3,SNOW WC,19640401 0000,19640331 0000,18.30,,INCHES
YBP,M,3,SNOW WC,19640501 0000,19640504 0000,6.00,,INCHES
YBP,M,3,SNOW WC,19650201 0000,19650203 0000,33.50,,INCHES
YBP,M,3,SNOW WC,19650301 0000,19650301 0000,32.70,,INCHES
YBP,M,3,SNOW WC,19650401 0000,19650402 0000,33.00,,INCHES
YBP,M,3,SNOW WC,19650501 0000,19650503 0000,22.70,,INCHES
YBP,M,3,SNOW WC,19660201 0000,19660126 0000,21.30,,INCHES
YBP,M,3,SNOW WC,19660301 0000,19660302 0000,26.20,,INCHES
YBP,M,3,SNOW WC,19660401 0000,19660325 0000,29.40,,INCHES
YBP,M,3,SNOW WC,19660501 0000,19660428 0000,5.60,,INCHES
YBP,M,3,SNOW WC,19670201 0000,19670201 0000,34.40,,INCHES
YBP,M,3,SNOW WC,19670301 0000,19670227 0000,34.20,,INCHES
YBP,M,3,SNOW WC,19670401 0000,19670327 0000,42.80,,INCHES
YBP,M,3,SNOW WC,19670501 0000,19670501 0000,56.30,,INCHES
YBP,M,3,SNOW WC,19680201 0000,19680126 0000,14.60,,INCHES
YBP,M,3,SNOW WC,19680301 0000,19680227 0000,21.40,,INCHES
YBP,M,3,SNOW WC,19680401 0000,19680326 0000,23.30,,INCHES
YBP,M,3,SNOW WC,19680501 0000,19680426 0000,5.40,,INCHES
YBP,M,3,SNOW WC,19690201 0000,19690129 0000,40.00,,INCHES
YBP,M,3,SNOW WC,19690301 0000,19690227 0000,59.80,,INCHES
YBP,M,3,SNOW WC,19690401 0000,19690327 0000,61.30,,INCHES
YBP,M,3,SNOW WC,19690501 0000,19690430 0000,47.60,,INCHES
YBP,M,3,SNOW WC,19700201 0000,19700202 0000,17.00,,INCHES
YBP,M,3,SNOW WC,19700301 0000,19700227 0000,19.80,,INCHES
YBP,M,3,SNOW WC,19700401 0000,19700330 0000,15.90,,INCHES
YBP,M,3,SNOW WC,19700501 0000,19700505 0000,3.90,,INCHES
YBP,M,3,SNOW WC,19710201 0000,19710201 0000,34.30,,INCHES
YBP,M,3,SNOW WC,19710401 0000,19710329 0000,42.60,,INCHES
YBP,M,3,SNOW WC,19710501 0000,19710503 0000,34.80,,INCHES
YBP,M,3,SNOW WC,19720201 0000,19720201 0000,24.70,,INCHES
YBP,M,3,SNOW WC,19720301 0000,19720228 0000,30.20,,INCHES
YBP,M,3,SNOW WC,19720401 0000,19720327 0000,18.50,,INCHES
YBP,M,3,SNOW WC,19720501 0000,19720428 0000,15.10,,INCHES
YBP,M,3,SNOW WC,19730201 0000,19730130 0000,19.20,,INCHES
YBP,M,3,SNOW WC,19730301 0000,19730301 0000,28.40,,INCHES
YBP,M,3,SNOW WC,19730401 0000,19730402 0000,33.40,,INCHES
YBP,M,3,SNOW WC,19730501 0000,19730430 0000,17.70,,INCHES
YBP,M,3,SNOW WC,19740201 0000,19740123 0000,23.40,,INCHES
YBP,M,3,SNOW WC,19740301 0000,19740221 0000,26.10,,INCHES
YBP,M,3,SNOW WC,19740401 0000,19740322 0000,35.70,,INCHES
YBP,M,3,SNOW WC,19740501 0000,19740426 0000,38.10,,INCHES
YBP,M,3,SNOW WC,19750301 0000,19750220 0000,31.90,,INCHES
YBP,M,3,SNOW WC,19750401 0000,19750320 0000,37.30,,INCHES
YBP,M,3,SNOW WC,19750501 0000,19750421 0000,45.70,,INCHES
YBP,M,3,SNOW WC,19760201 0000,19760120 0000,3.60,,INCHES
YBP,M,3,SNOW WC,19760301 0000,19760223 0000,7.60,,INCHES
YBP,M,3,SNOW WC,19760401 0000,19760322 0000,11.40,,INCHES
YBP,M,3,SNOW WC,19760501 0000,19760420 0000,7.00,,INCHES
YBP,M,3,SNOW WC,19770201 0000,19770124 0000,4.00,,INCHES
YBP,M,3,SNOW WC,19770301 0000,19770222 0000,4.60,,INCHES
YBP,M,3,SNOW WC,19770401 0000,19770321 0000,8.20,,INCHES
YBP,M,3,SNOW WC,19770501 0000,19770421 0000,0.00,,INCHES
YBP,M,3,SNOW WC,19780201 0000,19780120 0000,32.00,,INCHES
YBP,M,3,SNOW WC,19780301 0000,19780221 0000,40.30,,INCHES
YBP,M,3,SNOW WC,19780401 0000,19780320 0000,42.00,,INCHES
YBP,M,3,SNOW WC,19780501 0000,19780424 0000,36.40,,INCHES
YBP,M,3,SNOW WC,19790201 0000,19790123 0000,11.30,,INCHES
YBP,M,3,SNOW WC,19790301 0000,19790223 0000,19.50,,INCHES
YBP,M,3,SNOW WC,19790401 0000,19790321 0000,24.80,,INCHES
YBP,M,3,SNOW WC,19790501 0000,19790426 0000,19.00,,INCHES
YBP,M,3,SNOW WC,19800201 0000,19800125 0000,17.10,,INCHES
YBP,M,3,SNOW WC,19800301 0000,19800227 0000,28.00,,INCHES
YBP,M,3,SNOW WC,19800401 0000,19800331 0000,35.00,,INCHES
YBP,M,3,SNOW WC,19800501 0000,19800428 0000,27.00,,INCHES
YBP,M,3,SNOW WC,19810201 0000,19810129 0000,11.20,,INCHES
YBP,M,3,SNOW WC,19810301 0000,19810226 0000,11.60,,INCHES
YBP,M,3,SNOW WC,19810401 0000,19810326 0000,12.00,,INCHES
YBP,M,3,SNOW WC,19810501 0000,19810429 0000,0.00,,INCHES
YBP,M,3,SNOW WC,19820201 0000,19820129 0000,19.70,,INCHES
YBP,M,3,SNOW WC,19820301 0000,19820224 0000,15.60,,INCHES
YBP,M,3,SNOW WC,19820401 0000,19820330 0000,23.60,,INCHES
YBP,M,3,SNOW WC,19820501 0000,19820427 0000,36.00,,INCHES
YBP,M,3,SNOW WC,19830201 0000,19830127 0000,28.40,,INCHES
YBP,M,3,SNOW WC,19830301 0000,19830222 0000,39.90,,INCHES
YBP,M,3,SNOW WC,19830401 0000,19830331 0000,56.00,,INCHES
YBP,M,3,SNOW WC,19830501 0000,19830426 0000,62.30,,INCHES
YBP,M,3,SNOW WC,19840201 0000,19840126 0000,22.00,,INCHES
YBP,M,3,SNOW WC,19840301 0000,19840223 0000,26.60,,INCHES
YBP,M,3,SNOW WC,19840401 0000,19840329 0000,25.90,,INCHES
YBP,M,3,SNOW WC,19840501 0000,19840427 0000,18.30,,INCHES
YBP,M,3,SNOW WC,19850301 0000,19850227 0000,18.30,,INCHES
YBP,M,3,SNOW WC,19850401 0000,19850403 0000,26.70,,INCHES
YBP,M,3,SNOW WC,19850501 0000,19850426 0000,7.50,,INCHES
YBP,M,3,SNOW WC,19860201 0000,19860129 0000,13.70,,INCHES
YBP,M,3,SNOW WC,19860301 0000,19860228 0000,33.40,,INCHES
YBP,M,3,SNOW WC,19860401 0000,19860327 0000,33.30,,INCHES
YBP,M,3,SNOW WC,19860501 0000,19860429 0000,7.50,,INCHES
YBP,M,3,SNOW WC,19870201 0000,19870126 0000,6.60,,INCHES
YBP,M,3,SNOW WC,19870301 0000,19870225 0000,12.50,,INCHES
YBP,M,3,SNOW WC,19870401 0000,19870331 0000,14.20,,INCHES
YBP,M,3,SNOW WC,19870501 0000,19870427 0000,0.00,,INCHES
YBP,M,3,SNOW WC,19880201 0000,19880127 0000,13.40,,INCHES
YBP,M,3,SNOW WC,19880301 0000,19880225 0000,12.40,,INCHES
YBP,M,3,SNOW WC,19880401 0000,19880401 0000,0.00,,INCHES
YBP,M,3,SNOW WC,19880501 0000,19880502 0000,0.00,,INCHES
YBP,M,3,SNOW WC,19890201 0000,19890131 0000,20.60,,INCHES
YBP,M,3,SNOW WC,19890301 0000,19890228 0000,24.30,,INCHES
YBP,M,3,SNOW WC,19890401 0000,19890330 0000,32.80,,INCHES
YBP,M,3,SNOW WC,19890501 0000,19890427 0000,11.90,,INCHES
YBP,M,3,SNOW WC,19900101 0000,19900101 0000,---, ,INCHES
YBP,M,3,SNOW WC,19900201 0000,19900129 0000,7.90,,INCHES
YBP,M,3,SNOW WC,19900301 0000,19900227 0000,14.20,,INCHES
YBP,M,3,SNOW WC,19900401 0000,19900329 0000,14.70,,INCHES
YBP,M,3,SNOW WC,19900501 0000,19900502 0000,0.00,,INCHES
YBP,M,3,SNOW WC,19900601 0000,19900601 0000,---, ,INCHES
YBP,M,3,SNOW WC,19900701 0000,19900701 0000,---, ,INCHES
YBP,M,3,SNOW WC,19910101 0000,19910101 0000,---, ,INCHES
YBP,M,3,SNOW WC,19910201 0000,19910131 0000,3.00,,INCHES
YBP,M,3,SNOW WC,19910301 0000,19910227 0000,2.90,,INCHES
YBP,M,3,SNOW WC,19910401 0000,19910328 0000,20.40,,INCHES
YBP,M,3,SNOW WC,19910501 0000,19910426 0000,9.60,,INCHES
YBP,M,3,SNOW WC,19910601 0000,19910601 0000,---, ,INCHES
YBP,M,3,SNOW WC,19910701 0000,19910701 0000,---, ,INCHES
YBP,M,3,SNOW WC,19920101 0000,19920101 0000,---, ,INCHES
YBP,M,3,SNOW WC,19920201 0000,19920129 0000,8.10,,INCHES
YBP,M,3,SNOW WC,19920301 0000,19920225 0000,15.50,,INCHES
YBP,M,3,SNOW WC,19920401 0000,19920330 0000,9.40,,INCHES
YBP,M,3,SNOW WC,19920501 0000,19920430 0000,0.00,,INCHES
YBP,M,3,SNOW WC,19920601 0000,19920601 0000,---, ,INCHES
YBP,M,3,SNOW WC,19920701 0000,19920701 0000,---, ,INCHES
