STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
YR1,H,170,DEPTH B,20121114 0000,20121114 0000,---, ,FEET
YR1,H,170,DEPTH B,20121114 0100,20121114 0100,---, ,FEET
YR1,H,170,DEPTH B,20121114 0200,20121114 0200,---, ,FEET
YR1,H,170,DEPTH B,20121114 0300,20121114 0300,---, ,FEET
YR1,H,170,DEPTH B,20121114 0400,20121114 0400,---, ,FEET
YR1,H,170,DEPTH B,20121114 0500,20121114 0500,---, ,FEET
YR1,H,170,DEPTH B,20121114 0600,20121114 0600,---, ,FEET
YR1,H,170,DEPTH B,20121114 0700,20121114 0700,---, ,FEET
YR1,H,170,DEPTH B,20121114 0800,20121114 0800,---, ,FEET
YR1,H,170,DEPTH B,20121114 0900,20121114 0900,---, ,FEET
YR1,H,170,DEPTH B,20121114 1000,20121114 1000,---, ,FEET
YR1,H,170,DEPTH B,20121114 1100,20121114 1100,---, ,FEET
YR1,H,170,DEPTH B,20121114 1200,20121114 1200,---, ,FEET
YR1,H,170,DEPTH B,20121114 1300,20121114 1300,---, ,FEET
YR1,H,170,DEPTH B,20121114 1400,20121114 1400,---, ,FEET
YR1,H,170,DEPTH B,20121114 1500,20121114 1500,---, ,FEET
YR1,H,170,DEPTH B,20121114 1600,20121114 1600,---, ,FEET
YR1,H,170,DEPTH B,20121114 1700,20121114 1700,---, ,FEET
YR1,H,170,DEPTH B,20121114 1800,20121114 1800,---, ,FEET
YR1,H,170,DEPTH B,20121114 1900,20121114 1900,---, ,FEET
YR1,H,170,DEPTH B,20121114 2000,20121114 2000,---, ,FEET
YR1,H,170,DEPTH B,20121114 2100,20121114 2100,---, ,FEET
YR1,H,170,DEPTH B,20121114 2200,20121114 2200,---, ,FEET
YR1,H,170,DEPTH B,20121114 2300,20121114 2300,---, ,FEET
YR1,H,170,DEPTH B,20121115 0000,20121115 0000,---, ,FEET
YR1,H,170,DEPTH B,20121115 0100,20121115 0100,---, ,FEET
YR1,H,170,DEPTH B,20121115 0200,20121115 0200,---, ,FEET
YR1,H,170,DEPTH B,20121115 0300,20121115 0300,---, ,FEET
YR1,H,170,DEPTH B,20121115 0400,20121115 0400,---, ,FEET
YR1,H,170,DEPTH B,20121115 0500,20121115 0500,---, ,FEET
YR1,H,170,DEPTH B,20121115 0600,20121115 0600,---, ,FEET
YR1,H,170,DEPTH B,20121115 0700,20121115 0700,---, ,FEET
YR1,H,170,DEPTH B,20121115 0800,20121115 0800,---, ,FEET
YR1,H,170,DEPTH B,20121115 0900,20121115 0900,---, ,FEET
YR1,H,170,DEPTH B,20121115 1000,20121115 1000,-63.25, ,FEET
YR1,H,170,DEPTH B,20121115 1100,20121115 1100,-63.25, ,FEET
YR1,H,170,DEPTH B,20121115 1200,20121115 1200,-63.28, ,FEET
YR1,H,170,DEPTH B,20121115 1300,20121115 1300,-63.30, ,FEET
YR1,H,170,DEPTH B,20121115 1400,20121115 1400,-63.29, ,FEET
YR1,H,170,DEPTH B,20121115 1500,20121115 1500,-63.31, ,FEET
YR1,H,170,DEPTH B,20121115 1600,20121115 1600,-63.36, ,FEET
YR1,H,170,DEPTH B,20121115 1700,20121115 1700,-63.39, ,FEET
YR1,H,170,DEPTH B,20121115 1800,20121115 1800,-63.42, ,FEET
YR1,H,170,DEPTH B,20121115 1900,20121115 1900,-63.47, ,FEET
YR1,H,170,DEPTH B,20121115 2000,20121115 2000,-63.50, ,FEET
YR1,H,170,DEPTH B,20121115 2100,20121115 2100,-63.57, ,FEET
YR1,H,170,DEPTH B,20121115 2200,20121115 2200,-63.61, ,FEET
YR1,H,170,DEPTH B,20121115 2300,20121115 2300,-63.65, ,FEET
YR1,H,170,DEPTH B,20121116 0000,20121116 0000,-63.69, ,FEET
YR1,H,170,DEPTH B,20121116 0100,20121116 0100,-63.75, ,FEET
YR1,H,170,DEPTH B,20121116 0200,20121116 0200,-63.80, ,FEET
YR1,H,170,DEPTH B,20121116 0300,20121116 0300,-63.84, ,FEET
YR1,H,170,DEPTH B,20121116 0400,20121116 0400,-63.87, ,FEET
YR1,H,170,DEPTH B,20121116 0500,20121116 0500,-63.90, ,FEET
YR1,H,170,DEPTH B,20121116 0600,20121116 0600,-63.91, ,FEET
YR1,H,170,DEPTH B,20121116 0700,20121116 0700,-63.96, ,FEET
YR1,H,170,DEPTH B,20121116 0800,20121116 0800,-63.99, ,FEET
YR1,H,170,DEPTH B,20121116 0900,20121116 0900,-64.01, ,FEET
YR1,H,170,DEPTH B,20121116 1000,20121116 1000,-64.01, ,FEET
YR1,H,170,DEPTH B,20121116 1100,20121116 1100,-64.04, ,FEET
YR1,H,170,DEPTH B,20121116 1200,20121116 1200,-64.03, ,FEET
YR1,H,170,DEPTH B,20121116 1300,20121116 1300,-64.06, ,FEET
YR1,H,170,DEPTH B,20121116 1400,20121116 1400,-64.07, ,FEET
YR1,H,170,DEPTH B,20121116 1500,20121116 1500,-64.08, ,FEET
YR1,H,170,DEPTH B,20121116 1600,20121116 1600,-64.09, ,FEET
YR1,H,170,DEPTH B,20121116 1700,20121116 1700,-64.12, ,FEET
YR1,H,170,DEPTH B,20121116 1800,20121116 1800,-64.14, ,FEET
YR1,H,170,DEPTH B,20121116 1900,20121116 1900,-64.17, ,FEET
YR1,H,170,DEPTH B,20121116 2000,20121116 2000,-64.20, ,FEET
YR1,H,170,DEPTH B,20121116 2100,20121116 2100,-64.20, ,FEET
YR1,H,170,DEPTH B,20121116 2200,20121116 2200,-64.24, ,FEET
YR1,H,170,DEPTH B,20121116 2300,20121116 2300,-64.26, ,FEET
YR1,H,170,DEPTH B,20121117 0000,20121117 0000,-64.26, ,FEET
YR1,H,170,DEPTH B,20121117 0100,20121117 0100,-64.29, ,FEET
YR1,H,170,DEPTH B,20121117 0200,20121117 0200,-64.31, ,FEET
YR1,H,170,DEPTH B,20121117 0300,20121117 0300,-64.31, ,FEET
YR1,H,170,DEPTH B,20121117 0400,20121117 0400,-64.33, ,FEET
YR1,H,170,DEPTH B,20121117 0500,20121117 0500,-64.35, ,FEET
YR1,H,170,DEPTH B,20121117 0600,20121117 0600,-64.33, ,FEET
YR1,H,170,DEPTH B,20121117 0700,20121117 0700,-64.34, ,FEET
YR1,H,170,DEPTH B,20121117 0800,20121117 0800,-64.35, ,FEET
YR1,H,170,DEPTH B,20121117 0900,20121117 0900,-64.32, ,FEET
YR1,H,170,DEPTH B,20121117 1000,20121117 1000,-64.32, ,FEET
YR1,H,170,DEPTH B,20121117 1100,20121117 1100,-64.33, ,FEET
YR1,H,170,DEPTH B,20121117 1200,20121117 1200,-64.33, ,FEET
YR1,H,170,DEPTH B,20121117 1300,20121117 1300,-64.30, ,FEET
YR1,H,170,DEPTH B,20121117 1400,20121117 1400,-64.30, ,FEET
YR1,H,170,DEPTH B,20121117 1500,20121117 1500,-64.27, ,FEET
YR1,H,170,DEPTH B,20121117 1600,20121117 1600,-64.25, ,FEET
YR1,H,170,DEPTH B,20121117 1700,20121117 1700,-64.23, ,FEET
YR1,H,170,DEPTH B,20121117 1800,20121117 1800,-64.21, ,FEET
YR1,H,170,DEPTH B,20121117 1900,20121117 1900,-64.17, ,FEET
YR1,H,170,DEPTH B,20121117 2000,20121117 2000,-64.17, ,FEET
YR1,H,170,DEPTH B,20121117 2100,20121117 2100,-64.13, ,FEET
YR1,H,170,DEPTH B,20121117 2200,20121117 2200,-64.10, ,FEET
YR1,H,170,DEPTH B,20121117 2300,20121117 2300,-64.08, ,FEET
YR1,H,170,DEPTH B,20121118 0000,20121118 0000,-64.03, ,FEET
YR1,H,170,DEPTH B,20121118 0100,20121118 0100,-63.99, ,FEET
YR1,H,170,DEPTH B,20121118 0200,20121118 0200,-63.95, ,FEET
YR1,H,170,DEPTH B,20121118 0300,20121118 0300,-63.93, ,FEET
YR1,H,170,DEPTH B,20121118 0400,20121118 0400,-63.89, ,FEET
YR1,H,170,DEPTH B,20121118 0500,20121118 0500,-63.83, ,FEET
YR1,H,170,DEPTH B,20121118 0600,20121118 0600,-63.78, ,FEET
YR1,H,170,DEPTH B,20121118 0700,20121118 0700,-63.73, ,FEET
YR1,H,170,DEPTH B,20121118 0800,20121118 0800,-63.68, ,FEET
YR1,H,170,DEPTH B,20121118 0900,20121118 0900,-63.66, ,FEET
YR1,H,170,DEPTH B,20121118 1000,20121118 1000,-63.62, ,FEET
YR1,H,170,DEPTH B,20121118 1100,20121118 1100,-63.57, ,FEET
YR1,H,170,DEPTH B,20121118 1200,20121118 1200,-63.52, ,FEET
YR1,H,170,DEPTH B,20121118 1300,20121118 1300,-63.48, ,FEET
YR1,H,170,DEPTH B,20121118 1400,20121118 1400,-63.40, ,FEET
YR1,H,170,DEPTH B,20121118 1500,20121118 1500,-63.40, ,FEET
YR1,H,170,DEPTH B,20121118 1600,20121118 1600,-63.33, ,FEET
YR1,H,170,DEPTH B,20121118 1700,20121118 1700,-63.29, ,FEET
YR1,H,170,DEPTH B,20121118 1800,20121118 1800,-63.26, ,FEET
YR1,H,170,DEPTH B,20121118 1900,20121118 1900,-63.21, ,FEET
YR1,H,170,DEPTH B,20121118 2000,20121118 2000,-63.17, ,FEET
YR1,H,170,DEPTH B,20121118 2100,20121118 2100,-63.13, ,FEET
YR1,H,170,DEPTH B,20121118 2200,20121118 2200,-63.10, ,FEET
YR1,H,170,DEPTH B,20121118 2300,20121118 2300,-63.06, ,FEET
YR1,H,170,DEPTH B,20121119 0000,20121119 0000,-63.01, ,FEET
YR1,H,170,DEPTH B,20121119 0100,20121119 0100,-62.97, ,FEET
YR1,H,170,DEPTH B,20121119 0200,20121119 0200,-62.93, ,FEET
YR1,H,170,DEPTH B,20121119 0300,20121119 0300,-62.90, ,FEET
YR1,H,170,DEPTH B,20121119 0400,20121119 0400,-62.84, ,FEET
YR1,H,170,DEPTH B,20121119 0500,20121119 0500,-62.80, ,FEET
YR1,H,170,DEPTH B,20121119 0600,20121119 0600,-62.74, ,FEET
YR1,H,170,DEPTH B,20121119 0700,20121119 0700,-62.73, ,FEET
YR1,H,170,DEPTH B,20121119 0800,20121119 0800,-62.67, ,FEET
YR1,H,170,DEPTH B,20121119 0900,20121119 0900,-62.64, ,FEET
YR1,H,170,DEPTH B,20121119 1000,20121119 1000,-62.57, ,FEET
YR1,H,170,DEPTH B,20121119 1100,20121119 1100,-62.52, ,FEET
YR1,H,170,DEPTH B,20121119 1200,20121119 1200,-62.45, ,FEET
YR1,H,170,DEPTH B,20121119 1300,20121119 1300,-62.39, ,FEET
YR1,H,170,DEPTH B,20121119 1400,20121119 1400,-62.35, ,FEET
YR1,H,170,DEPTH B,20121119 1500,20121119 1500,-62.31, ,FEET
YR1,H,170,DEPTH B,20121119 1600,20121119 1600,-62.22, ,FEET
YR1,H,170,DEPTH B,20121119 1700,20121119 1700,-62.22, ,FEET
YR1,H,170,DEPTH B,20121119 1800,20121119 1800,-62.19, ,FEET
YR1,H,170,DEPTH B,20121119 1900,20121119 1900,-62.11, ,FEET
YR1,H,170,DEPTH B,20121119 2000,20121119 2000,-62.07, ,FEET
YR1,H,170,DEPTH B,20121119 2100,20121119 2100,-62.05, ,FEET
YR1,H,170,DEPTH B,20121119 2200,20121119 2200,-61.99, ,FEET
YR1,H,170,DEPTH B,20121119 2300,20121119 2300,-61.93, ,FEET
YR1,H,170,DEPTH B,20121120 0000,20121120 0000,-61.92, ,FEET
YR1,H,170,DEPTH B,20121120 0100,20121120 0100,-61.88, ,FEET
YR1,H,170,DEPTH B,20121120 0200,20121120 0200,-61.83, ,FEET
YR1,H,170,DEPTH B,20121120 0300,20121120 0300,-61.81, ,FEET
YR1,H,170,DEPTH B,20121120 0400,20121120 0400,-61.77, ,FEET
YR1,H,170,DEPTH B,20121120 0500,20121120 0500,-61.71, ,FEET
YR1,H,170,DEPTH B,20121120 0600,20121120 0600,-61.70, ,FEET
YR1,H,170,DEPTH B,20121120 0700,20121120 0700,-61.64, ,FEET
YR1,H,170,DEPTH B,20121120 0800,20121120 0800,-61.61, ,FEET
YR1,H,170,DEPTH B,20121120 0900,20121120 0900,-61.58, ,FEET
YR1,H,170,DEPTH B,20121120 1000,20121120 1000,-61.52, ,FEET
YR1,H,170,DEPTH B,20121120 1100,20121120 1100,-61.46, ,FEET
YR1,H,170,DEPTH B,20121120 1200,20121120 1200,-61.44, ,FEET
YR1,H,170,DEPTH B,20121120 1300,20121120 1300,-61.39, ,FEET
YR1,H,170,DEPTH B,20121120 1400,20121120 1400,-61.34, ,FEET
YR1,H,170,DEPTH B,20121120 1500,20121120 1500,-61.28, ,FEET
YR1,H,170,DEPTH B,20121120 1600,20121120 1600,-61.26, ,FEET
YR1,H,170,DEPTH B,20121120 1700,20121120 1700,-61.23, ,FEET
